1	1.79	5.35
2	1.49	4.346
3	1.73	3.2996
4	1.72	2.68576
5	1.82	2.468256
6	1.64	2.3284736
7	1.8	2.22191616
8	1.69	2.099322496
9	1.78	2.0414859776
10	1.76	1.95680557056
11	1.76	1.90041452954
12	1.76	1.86211366748
13	1.79	1.8895601603
14	1.78	1.87676966402
15	1.78	1.86288865269
16	1.69	1.93019699864
17	1.49	2.22328924481
18	1.35	2.50131038338
19	1.71	2.29844330954
20	1.77	2.26199164934
21	1.78	2.22313552049
22	1.55	2.20954248052
23	1.33	2.4582544229
24	1.62	2.15529020555
25	1.82	2.32704416478
26	1.73	2.20692253203
27	1.7	2.05711034575
28	1.76	2.06463166867
29	1.37	2.35880309823
30	1.34	2.46290113656
31	1.35	2.40903610403
32	1.65	2.28194895534
33	1.67	2.20639120754
34	1.81	2.37921219199
35	1.81	2.41662928917
36	1.19	2.76930125741
37	1.44	2.46223970158
38	1.8	2.56155603162
39	1.26	2.63831534514
40	0.8	3.20889458801
41	1.78	3.19677340467
42	1.63	2.8076133643
43	1.82	2.86860747577
44	1.77	2.72399605122
45	1.75	2.54226288333
46	1.3	2.64155347018
47	1.82	2.66996584377
48	1.8	2.5796065156
49	1.82	2.50986551683
50	1.33	2.67912908527
